name,neighbourhood_cleansed,room_type,price,review_scores_rating,number_of_reviews,latitude,longitude,minimum_nights,accommodates
"La Sinagoga Suite, wondeful apart!",Centro Storico,Entire home/apt,$360.00,4.96,68,43.77316,11.26546,4,5
a romantic apartment in san Niccolò,Centro Storico,Entire home/apt,$120.00,4.81,154,43.7639,11.26209,5,3
"Apartment,  in the very heart of Florence",Centro Storico,Entire home/apt,$472.00,4.73,151,43.76944,11.2552,2,9
"At M&C, where locals live! En-suite bathroom",Centro Storico,Private room,$89.00,4.92,406,43.77467,11.24327,3,2
Florence&Us - Piazza Santa Croce - Dante,Centro Storico,Entire home/apt,$132.00,4.88,311,43.76927,11.26327,2,2
Apartment in the heart of Firenze,Centro Storico,Entire home/apt,$96.00,4.73,90,43.77175,11.25006,31,2
Cozy room perfect location! en-suite bathroom,Centro Storico,Private room,$85.00,4.93,475,43.77429,11.24503,3,2
Lussuoso attico con vista,Centro Storico,Entire home/apt,$418.00,4.95,19,43.76838,11.25807,2,8
Apartment of 40 sq.m. central zone,Centro Storico,Entire home/apt,$80.00,4.74,39,43.76231,11.24135,31,4
A Florentine  Renaissance (Santa Croce),Centro Storico,Entire home/apt,$238.00,4.85,61,43.76953,11.26031,3,4
Attico Panoramico,Isolotto Legnaia,Entire home/apt,$111.00,4.88,182,43.77049,11.2343,3,5
